iter	Passed	Remaining
0	65	19438
1	78	11638
2	90	8927
3	102	7567
4	113	6692
5	128	6285
6	140	5867
7	151	5515
8	162	5264
9	175	5075
10	186	4902
11	198	4760
12	209	4621
13	221	4522
14	231	4407
15	243	4330
16	255	4246
17	267	4193
18	279	4132
19	290	4066
20	302	4017
21	316	4001
22	328	3959
23	341	3921
24	352	3872
25	363	3832
26	375	3795
27	385	3749
28	397	3713
29	408	3678
30	420	3646
31	433	3628
32	446	3613
33	458	3585
34	470	3560
35	482	3535
36	493	3508
37	505	3486
38	516	3456
39	527	3430
40	539	3407
41	550	3378
42	561	3354
43	573	3335
44	585	3316
45	596	3294
46	608	3273
47	620	3256
48	631	3234
49	643	3216
50	654	3196
51	666	3179
52	678	3161
53	690	3145
54	701	3126
55	713	3109
56	725	3092
57	738	3082
58	749	3061
59	762	3051
60	776	3042
61	792	3042
62	806	3032
63	819	3020
64	833	3011
65	844	2994
66	857	2981
67	868	2963
68	881	2952
69	894	2940
70	906	2923
71	918	2907
72	933	2901
73	946	2891
74	962	2888
75	979	2886
76	1000	2896
77	1012	2881
78	1025	2868
79	1037	2853
80	1049	2838
81	1061	2821
82	1074	2809
83	1085	2791
84	1097	2775
85	1109	2760
86	1121	2745
87	1134	2733
88	1146	2718
89	1157	2700
90	1168	2684
91	1180	2668
92	1191	2653
93	1203	2638
94	1215	2623
95	1227	2608
96	1239	2594
97	1250	2577
98	1261	2561
99	1274	2548
100	1285	2532
101	1296	2517
102	1307	2501
103	1318	2484
104	1329	2469
105	1341	2455
106	1352	2440
107	1365	2426
108	1377	2413
109	1388	2398
110	1401	2385
111	1413	2372
112	1424	2357
113	1436	2343
114	1448	2330
115	1461	2318
116	1474	2305
117	1485	2291
118	1498	2279
119	1510	2265
120	1522	2252
121	1535	2239
122	1548	2228
123	1560	2215
124	1572	2200
125	1584	2187
126	1596	2174
127	1609	2163
128	1621	2149
129	1633	2136
130	1645	2122
131	1657	2109
132	1670	2097
133	1681	2083
134	1695	2071
135	1708	2060
136	1721	2047
137	1734	2036
138	1748	2025
139	1761	2012
140	1773	2000
141	1786	1987
142	1797	1973
143	1809	1959
144	1823	1948
145	1835	1936
146	1847	1923
147	1859	1909
148	1870	1895
149	1881	1881
150	1893	1868
151	1906	1855
152	1920	1845
153	1931	1831
154	1946	1821
155	1962	1811
156	1980	1803
157	1995	1793
158	2007	1780
159	2020	1767
160	2032	1754
161	2044	1741
162	2056	1728
163	2068	1714
164	2079	1701
165	2090	1687
166	2102	1674
167	2114	1661
168	2125	1647
169	2137	1634
170	2148	1620
171	2159	1607
172	2171	1594
173	2182	1580
174	2194	1567
175	2206	1554
176	2218	1541
177	2229	1528
178	2240	1514
179	2252	1501
180	2263	1487
181	2276	1476
182	2288	1463
183	2302	1451
184	2314	1438
185	2327	1426
186	2339	1413
187	2351	1401
188	2363	1388
189	2375	1375
190	2386	1361
191	2397	1348
192	2409	1335
193	2423	1324
194	2439	1313
195	2451	1300
196	2463	1288
197	2476	1275
198	2488	1262
199	2500	1250
200	2511	1236
201	2523	1224
202	2534	1211
203	2546	1198
204	2560	1186
205	2573	1174
206	2586	1161
207	2598	1149
208	2609	1136
209	2621	1123
210	2633	1110
211	2650	1100
212	2663	1087
213	2676	1075
214	2691	1064
215	2704	1051
216	2719	1040
217	2730	1027
218	2742	1014
219	2753	1001
220	2764	988
221	2776	975
222	2788	962
223	2800	950
224	2814	938
225	2826	925
226	2839	913
227	2851	900
228	2863	887
229	2875	875
230	2887	862
231	2902	850
232	2915	838
233	2930	826
234	2948	815
235	2967	804
236	2980	792
237	2993	779
238	3006	767
239	3017	754
240	3029	741
241	3040	728
242	3051	715
243	3062	702
244	3073	690
245	3087	677
246	3099	665
247	3111	652
248	3123	639
249	3135	627
250	3146	614
251	3158	601
252	3169	588
253	3181	576
254	3194	563
255	3207	551
256	3219	538
257	3231	526
258	3246	513
259	3260	501
260	3274	489
261	3286	476
262	3298	463
263	3309	451
264	3321	438
265	3333	426
266	3344	413
267	3356	400
268	3367	388
269	3379	375
270	3390	362
271	3403	350
272	3418	338
273	3430	325
274	3442	312
275	3453	300
276	3466	287
277	3478	275
278	3490	262
279	3504	250
280	3515	237
281	3527	225
282	3539	212
283	3551	200
284	3565	187
285	3579	175
286	3592	162
287	3605	150
288	3620	137
289	3635	125
290	3647	112
291	3660	100
292	3672	87
293	3684	75
294	3697	62
295	3710	50
296	3722	37
297	3734	25
298	3746	12
299	3758	0
