iter	Logloss
0	0.6658545396
1	0.6425128023
2	0.6219532612
3	0.6032567649
4	0.5875432387
5	0.573228485
6	0.5606303432
7	0.5483885471
8	0.5389451308
9	0.5295024744
10	0.520455336
11	0.5131943043
12	0.5072571378
13	0.5012241879
14	0.4973624303
15	0.4926356377
16	0.4883534288
17	0.4843550736
18	0.4802499962
19	0.4764920344
20	0.4743143638
21	0.4723758563
22	0.469247738
23	0.4673706042
24	0.4639919996
25	0.4622872367
26	0.4603889464
27	0.4585023618
28	0.4567051692
29	0.4549797214
30	0.4534384767
31	0.4508789577
32	0.4480560056
33	0.446349729
34	0.4448719018
35	0.4428166625
36	0.4407145228
37	0.437951448
38	0.4363401242
39	0.4352912188
40	0.434064187
41	0.4328092743
42	0.43149291
43	0.4302144238
44	0.4286944029
45	0.4269548154
46	0.4259364003
47	0.4246242675
48	0.4237719936
49	0.4227613673
50	0.4219376409
51	0.4208683945
52	0.4198969535
53	0.4186137689
54	0.4179893771
55	0.4168729042
56	0.4155275361
57	0.4149615691
58	0.4134595455
59	0.4130771607
60	0.4124282891
61	0.4114503836
62	0.4096571894
63	0.4082445941
64	0.4073301169
65	0.4058537981
66	0.4051253598
67	0.4048321573
68	0.4041319795
69	0.4031001138
70	0.4024215775
71	0.4014276296
72	0.4009732058
73	0.4003359728
74	0.3998909077
75	0.3993808435
76	0.3987391033
77	0.3982777772
78	0.3977995085
79	0.3969823394
80	0.3963987029
81	0.3958911422
82	0.3950199878
83	0.394449258
84	0.3931638704
85	0.3925976424
86	0.3921977163
87	0.3917874786
88	0.3915655767
89	0.3905601913
90	0.3892808599
91	0.3884201077
92	0.3880386199
93	0.3864214966
94	0.3853302614
95	0.384750841
96	0.3835002878
97	0.3824312171
98	0.38171107
99	0.3808775839
100	0.3797595237
101	0.3793506846
102	0.3787470998
103	0.3781834842
104	0.3777660872
105	0.3771680573
106	0.3765661231
107	0.3761013713
108	0.3752293969
109	0.374823543
110	0.3739302502
111	0.3736541607
112	0.3728467847
113	0.3719754004
114	0.3715263342
115	0.3709653164
116	0.3699734683
117	0.3694133792
118	0.3684043174
119	0.3673668924
120	0.3670336906
121	0.3662438225
122	0.3650834433
123	0.3642724818
124	0.363978203
125	0.3636998751
126	0.3630761817
127	0.3621093215
128	0.3615389693
129	0.361118471
130	0.3609480622
131	0.3606402581
132	0.3605124187
133	0.3600705768
134	0.3590974707
135	0.3586377778
136	0.3579332355
137	0.3575494424
138	0.3569548476
139	0.3565575134
140	0.3553933455
141	0.3548189677
142	0.3541645872
143	0.3535786364
144	0.3524549715
145	0.3518510763
146	0.3514079958
147	0.3508538983
148	0.3505825364
149	0.3499831555
150	0.349810725
151	0.3492529432
152	0.3483419948
153	0.3474554023
154	0.3467070032
155	0.3461491301
156	0.3451321984
157	0.3443293023
158	0.3439427302
159	0.3434649315
160	0.3425852212
161	0.3416766593
162	0.3411672875
163	0.3405637123
164	0.3403415445
165	0.3397470592
166	0.3394009953
167	0.3390358345
168	0.339010516
169	0.3377417125
170	0.3369790191
171	0.3366951614
172	0.3361499408
173	0.3348159039
174	0.3337603087
175	0.3330392998
176	0.3325137815
177	0.3322502631
178	0.3313469405
179	0.3307329119
180	0.3300413022
181	0.3294633732
182	0.3284929643
183	0.3281294263
184	0.3274136716
185	0.3268722062
186	0.3257194583
187	0.3251612574
188	0.3247973439
189	0.3239926075
190	0.3234758794
191	0.3227594478
192	0.3221399796
193	0.321583657
194	0.3211475284
195	0.3198317065
196	0.318841638
197	0.3183424682
198	0.3173195236
199	0.3166732799
