iter	Passed	Remaining
0	3	668
1	6	622
2	9	600
3	11	580
4	13	523
5	16	521
6	18	522
7	21	523
8	24	522
9	27	519
10	30	516
11	32	514
12	35	512
13	38	510
14	39	486
15	42	487
16	45	487
17	48	486
18	50	484
19	53	483
20	54	468
21	56	454
22	58	453
23	61	452
24	64	452
25	66	446
26	69	445
27	72	443
28	74	441
29	77	440
30	80	438
31	83	436
32	85	435
33	88	433
34	91	430
35	94	429
36	97	427
37	99	425
38	102	423
39	105	421
40	108	419
41	111	417
42	113	415
43	116	412
44	119	410
45	121	407
46	124	405
47	127	403
48	129	400
49	132	398
50	135	395
51	138	393
52	141	391
53	143	388
54	146	386
55	149	383
56	151	381
57	154	378
58	157	375
59	160	373
60	162	370
61	165	368
62	168	366
63	171	364
64	174	361
65	176	358
66	179	356
67	180	351
68	183	348
69	186	346
70	189	343
71	191	341
72	194	338
73	197	336
74	200	334
75	203	332
76	206	329
77	209	326
78	211	324
79	214	321
80	217	319
81	220	316
82	222	314
83	225	311
84	228	309
85	231	306
86	234	304
87	236	301
88	239	298
89	242	296
90	245	293
91	247	290
92	250	288
93	253	285
94	256	282
95	258	280
96	261	277
97	264	275
98	267	272
99	269	269
100	272	267
101	275	265
102	279	262
103	282	260
104	285	258
105	288	255
106	291	253
107	294	250
108	297	248
109	299	245
110	302	242
111	305	240
112	308	237
113	311	234
114	313	231
115	316	229
116	319	226
117	322	223
118	325	221
119	328	219
120	331	216
121	334	214
122	337	211
123	340	208
124	343	205
125	345	203
126	348	200
127	351	197
128	354	195
129	357	192
130	360	189
131	362	186
132	365	184
133	368	181
134	371	178
135	373	175
136	376	173
137	379	170
138	382	167
139	384	164
140	387	162
141	390	159
142	393	156
143	396	154
144	399	151
145	401	148
146	404	145
147	407	143
148	410	140
149	412	137
150	415	134
151	418	132
152	421	129
153	424	126
154	427	124
155	430	121
156	432	118
157	435	115
158	438	113
159	441	110
160	443	107
161	446	104
162	449	101
163	451	99
164	454	96
165	457	93
166	460	90
167	463	88
168	464	85
169	467	82
170	470	79
171	473	77
172	475	74
173	478	71
174	481	68
175	484	66
176	487	63
177	489	60
178	492	57
179	498	55
180	503	52
181	508	50
182	512	47
183	517	45
184	522	42
185	526	39
186	529	36
187	532	33
188	534	31
189	537	28
190	540	25
191	543	22
192	546	19
193	548	16
194	551	14
195	554	11
196	557	8
197	559	5
198	562	2
199	565	0
